name,name_fr,FIFA,IOC,currency_alphabetic_code,currency_country_name,currency_name
Djibouti,Djibouti,DJI,DJI,DJF,DJIBOUTI,Djibouti Franc
Dominica,Dominique,DMA,DMA,XCD,DOMINICA,East Caribbean Dollar
Dominican Republic,"Dominicaine, République",DOM,DOM,DOP,DOMINICAN REPUBLIC,Dominican Peso
Ecuador,Équateur,ECU,ECU,USD,ECUADOR,US Dollar
Egypt,Égypte,EGY,EGY,EGP,EGYPT,Egyptian Pound
El Salvador,El Salvador,SLV,ESA,USD,EL SALVADOR,US Dollar
Equatorial Guinea,Guinée Équatoriale,EQG,GEQ,XAF,EQUATORIAL GUINEA,CFA Franc BEAC
Eritrea,Érythrée,ERI,ERI,ERN,ERITREA,Nakfa
Estonia,Estonie,EST,EST,EUR,ESTONIA,Euro
Ethiopia,Éthiopie,ETH,ETH,ETB,ETHIOPIA,Ethiopian Birr
Falkland Islands,"Falkland, Îles (Malvinas)",FLK,FLK,FKP,FALKLAND ISLANDS (MALVINAS),Falkland Islands Pound
Faroe Islands,"Féroé, Îles",FRO,FAR,DKK,FAROE ISLANDS,Danish Krone
Fiji,Fidji,FIJ,FIJ,FJD,FIJI,Fiji Dollar
Finland,Finlande,FIN,FIN,EUR,FINLAND,Euro
France,France,FRA,FRA,EUR,FRANCE,Euro
French Guiana,Guyane Française,GUF,FGU,EUR,FRENCH GUIANA,Euro
French Polynesia,Polynésie Française,TAH,FPO,XPF,FRENCH POLYNESIA,CFP Franc
French Southern Territories,Terres Australes Françaises,, ,EUR,FRENCH SOUTHERN TERRITORIES,Euro
Gabon,Gabon,GAB,GAB,XAF,GABON,CFA Franc BEAC
Gambia,Gambie,GAM,GAM,GMD,GAMBIA,Dalasi
Georgia,Géorgie,GEO,GEO,GEL,GEORGIA,Lari
Germany,Allemagne,GER,GER,EUR,GERMANY,Euro
Ghana,Ghana,GHA,GHA,GHS,GHANA,Ghana Cedi
Gibraltar,Gibraltar,GBZ,GIB,GIP,GIBRALTAR,Gibraltar Pound
Greece,Grèce,GRE,GRE,EUR,GREECE,Euro
Greenland,Groenland,GRL,GRL,DKK,GREENLAND,Danish Krone
Grenada,Grenade,GRN,GRN,XCD,GRENADA,East Caribbean Dollar
Guadeloupe,Guadeloupe,GLP,GUD,EUR,GUADELOUPE,Euro
Guam,Guam,GUM,GUM,USD,GUAM,US Dollar
Guatemala,Guatemala,GUA,GUA,GTQ,GUATEMALA,Quetzal
Guernsey,Guernesey,GBG, ,GBP,GUERNSEY,Pound Sterling
Guinea,Guinée,GUI,GUI,GNF,GUINEA,Guinea Franc
Guinea-Bissau,Guinée-Bissau,GNB,GBS,XOF,GUINEA-BISSAU,CFA Franc BCEAO
Guyana,Guyana,GUY,GUY,GYD,GUYANA,Guyana Dollar
Haiti,Haïti,HAI,HAI,USD,HAITI,US Dollar
Holy See (Vatican City State),Saint-Siège (État de la Cité du Vatican),VAT, ,EUR,HOLY SEE (VATICAN CITY STATE),Euro
Honduras,Honduras,HON,HON,HNL,HONDURAS,Lempira
Hong Kong,Hong Kong,HKG,HKG,HKD,HONG KONG,Hong Kong Dollar
Hungary,Hongrie,HUN,HUN,HUF,HUNGARY,Forint
Iceland,Islande,ISL,ISL,ISK,ICELAND,Iceland Krona
India,Inde,IND,IND,INR,INDIA,Indian Rupee
Indonesia,Indonésie,IDN,INA,IDR,INDONESIA,Rupiah
