,airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
195,GIC,GIC,Boigu Airport,Boigu,Australia,-9.23278,142.218,AUD,0.7253,1.3791
196,OKY,OKY,Oakey Airport,Oakey,Australia,-27.411389,151.735278,AUD,0.7253,1.3791
197,BQL,BQL,Boulia Airport,Boulia,Australia,-22.9133,139.9,AUD,0.7253,1.3791
198,BHS,BHS,Bathurst Airport,Bathurst,Australia,-33.4094,149.65200000000002,AUD,0.7253,1.3791
199,BLT,BLT,Blackwater Airport,Blackwater,Australia,-23.6031,148.80700000000002,AUD,0.7253,1.3791
200,CVQ,CVQ,Carnarvon Airport,Carnarvon,Australia,-24.8806,113.67200000000001,AUD,0.7253,1.3791
201,CAZ,CAZ,Cobar Airport,Cobar,Australia,-31.5383,145.79399999999998,AUD,0.7253,1.3791
202,CPD,CPD,Coober Pedy Airport,Coober Pedy,Australia,-29.04,134.721,AUD,0.7253,1.3791
203,CNC,CNC,Coconut Island Airport,Coconut Island,Australia,-10.05,143.07,AUD,0.7253,1.3791
204,CNJ,CNJ,Cloncurry Airport,Cloncurry,Australia,-20.6686,140.504,AUD,0.7253,1.3791
205,CED,CED,Ceduna Airport,Ceduna,Australia,-32.1306,133.71,AUD,0.7253,1.3791
206,CTN,CTN,Cooktown Airport,Cooktown,Australia,-15.4447,145.184,AUD,0.7253,1.3791
207,CMA,CMA,Cunnamulla Airport,Cunnamulla,Australia,-28.03,145.622,AUD,0.7253,1.3791
208,CNB,CNB,Coonamble Airport,Coonamble,Australia,-30.9833,148.376,AUD,0.7253,1.3791
209,CUQ,CUQ,Coen Airport,Coen,Australia,-13.7608,143.114,AUD,0.7253,1.3791
210,OOM,OOM,Cooma Snowy Mountains Airport,Cooma,Australia,-36.3006,148.974,AUD,0.7253,1.3791
211,DMD,DMD,Doomadgee Airport,Doomadgee,Australia,-17.9403,138.822,AUD,0.7253,1.3791
